,b'CALLS',b'\xc2\xa0',b'PUTS',b'Chart',b'OI',b'Chng in OI',b'Volume',b'IV',b'LTP',b'Net Chng',b'BidQty',b'BidPrice',b'AskPrice',b'AskQty',b'Strike Price',b'BidQty',b'BidPrice',b'AskPrice',b'AskQty',b'Net Chng',b'LTP',b'IV',b'Volume',b'Chng in OI',b'OI',b'Chart'
36,b'413700',b'8775',b'74388',b'17.66',b'28.80',b'14.00',b'75',b'28.10',b'28.80',b'75',b'11050.00',b'75',b'211.15',b'220.75',b'75',b'-98.30',b'221.05',b'14.94',b'1505',b'-49425',b'110250',,,,,
37,b'2758950',b'8925',b'218171',b'17.50',b'19.45',b'8.35',b'1575',b'19.45',b'19.75',b'600',b'11100.00',b'825',b'256.00',b'258.80',b'75',b'-109.75',b'259.40',b'13.01',b'5854',b'-42825',b'786675',,,,,
38,b'412800',b'-8700',b'38592',b'17.81',b'13.90',b'6.05',b'150',b'13.50',b'13.95',b'75',b'11150.00',b'75',b'295.55',b'305.15',b'75',b'-100.25',b'305.30',b'12.41',b'133',b'-3300',b'26400',,,,,
39,b'2685600',b'8025',b'158409',b'18.10',b'9.80',b'3.65',b'75',b'9.80',b'10.00',b'1725',b'11200.00',b'75',b'350.05',b'352.70',b'75',b'-115.85',b'350.05',b'-',b'5479',b'-81450',b'1310025',,,,,
40,b'266400',b'-18225',b'24879',b'18.36',b'6.80',b'1.90',b'75',b'6.65',b'7.10',b'150',b'11250.00',b'75',b'386.75',b'398.05',b'150',b'-101.50',b'410.50',b'19.21',b'108',b'-5100',b'14850',,,,,
41,b'1930725',b'-52950',b'90060',b'19.05',b'5.25',b'1.50',b'300',b'5.25',b'5.40',b'675',b'11300.00',b'750',b'439.25',b'448.45',b'150',b'-120.95',b'446.70',b'-',b'1656',b'-9975',b'566925',,,,,
42,b'175425',b'-12300',b'6578',b'19.52',b'3.85',b'0.70',b'75',b'3.90',b'4.55',b'75',b'11350.00',b'75',b'487.50',b'495.25',b'150',b'-100.85',b'505.00',b'18.68',b'134',b'-4125',b'13950',,,,,
43,b'1900950',b'-80925',b'82865',b'20.29',b'3.10',b'0.35',b'150',b'3.05',b'3.10',b'1500',b'11400.00',b'300',b'534.00',b'539.90',b'75',b'-118.05',b'539.30',b'-',b'2884',b'-47250',b'184650',,,,,
44,b'123150',b'17925',b'2956',b'21.34',b'2.75',b'0.30',b'1200',b'2.50',b'2.75',b'2925',b'11450.00',b'75',b'582.05',b'589.95',b'75',b'-108.35',b'592.00',b'-',b'97',b'-750',b'83775',,,,,
45,b'2770050',b'-21825',b'70849',b'21.85',b'2.10',b'-0.25',b'1200',b'2.15',b'2.25',b'8250',b'11500.00',b'300',b'636.00',b'637.30',b'75',b'-112.75',b'638.80',b'-',b'1588',b'-12600',b'688725',,,,,
46,b'53175',b'3075',b'882',b'23.46',b'2.25',b'-0.10',b'150',b'1.75',b'2.40',b'1500',b'11550.00',b'75',b'656.30',b'694.60',b'75',b'166.20',b'696.20',b'-',b'3',b'-150',b'5100',,,,,
47,b'1036050',b'-247725',b'18509',b'23.34',b'1.45',b'-0.40',b'150',b'1.40',b'1.45',b'225',b'11600.00',b'75',b'729.60',b'736.05',b'150',b'-116.50',b'738.00',b'-',b'188',b'-5475',b'204600',,,,,
48,b'59250',b'1725',b'297',b'24.27',b'1.30',b'-0.30',b'75',b'0.95',b'1.40',b'1500',b'11650.00',b'75',b'749.85',b'796.55',b'75',b'-25.00',b'875.00',b'57.60',b'1',b'-75',b'7575',,,,,
49,b'1112100',b'13350',b'7150',b'24.70',b'1.00',b'-0.30',b'450',b'0.95',b'1.00',b'6675',b'11700.00',b'75',b'827.20',b'837.35',b'150',b'-112.90',b'838.45',b'-',b'289',b'-4875',b'356625',,,,,
50,b'36525',b'9525',b'862',b'26.07',b'1.05',b'-0.10',b'1500',b'0.75',b'1.05',b'1200',b'11750.00',b'150',b'879.15',b'896.15',b'75',b'307.45',b'907.45',b'33.68',b'1',b'75',b'1350',,,,,
51,b'692400',b'-18825',b'3434',b'25.80',b'0.65',b'-0.45',b'12450',b'0.65',b'0.70',b'1200',b'11800.00',b'75',b'926.75',b'934.25',b'75',b'-120.70',b'931.15',b'-',b'168',b'-4725',b'270600',,,,,
52,b'23700',b'15975',b'437',b'28.30',b'1.00',b'0.15',b'600',b'0.75',b'0.95',b'75',b'11850.00',b'150',b'977.60',b'990.60',b'75',b'8.30',b'1061.60',b'62.06',b'2',b'-',b'4425',,,,,
53,b'839325',b'-96225',b'5631',b'28.08',b'0.65',b'-0.35',b'6375',b'0.65',b'0.75',b'600',b'11900.00',b'75',b'1031.00',b'1034.20',b'300',b'-118.95',b'1038.45',b'-',b'51',b'-2775',b'72225',,,,,
54,b'6375',b'-1125',b'60',b'28.68',b'0.55',b'-0.15',b'300',b'0.70',b'0.90',b'825',b'11950.00',b'150',b'1084.60',b'1095.40',b'75',b'49.20',b'1202.35',b'78.23',b'1',b'-',b'24000',,,,,
55,b'1068900',b'-10575',b'12540',b'30.56',b'0.70',b'-0.20',b'7500',b'0.65',b'0.70',b'1425',b'12000.00',b'150',b'1127.55',b'1133.80',b'75',b'-116.60',b'1129.50',b'-',b'804',b'-26850',b'457125',,,,,
56,b'3450',b'-450',b'9',b'32.35',b'0.85',b'0.15',b'75',b'0.40',b'0.80',b'4500',b'12050.00',b'1050',b'1147.25',b'1275.15',b'75',b'-',b'859.25',b'-',b'-',b'-',b'150',,,,,
57,b'137025',b'8925',b'344',b'32.77',b'0.70',b'-0.25',b'4275',b'0.55',b'0.70',b'6975',b'12100.00',b'75',b'1222.70',b'1258.90',b'75',b'-109.30',b'1239.05',b'-',b'11',b'-750',b'12600',,,,,
58,b'-',b'-',b'-',b'-',b'-',b'-',b'3000',b'0.10',b'1.95',b'750',b'12150.00',b'1050',b'1244.65',b'1381.30',b'1050',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
